"","ID","mvn1","mvn2","mvn3","mvn4","mvn5","group","dv","age","gender","wealth","alcohol","healthprobs","career","family","support","predictor1","predictor2","predictor3","predictor4","predictor5","criterion","trial1","trial2","trial3","trial4"
"1",1,126000,7890,1939,8.37039367677097,51.9212161494067,1,2.60971390679844,34.768313733497,1,76.9506850349866,91.278070396412,32.9142440055763,-999,44.9093622767798,39.2641357276463,3.10749546948806,27.3577196637609,27.4532356339175,71.091250259803,24.3541552252221,7.72650146461729,52.9442504506887,54.3701032245159,69.937705574811,56.1431468038154
"2",2,139500,4235,1984,11.1965785775996,60.3738965864542,1,6.67305241244979,51.6923298974567,2,88.917892162767,111.085078476954,32.1101840578274,16.782015345648,64.7468542303478,43.832145682359,3.46176127276882,19.2340086153403,24.8663278375231,55.3883919580265,36.5109846626959,7.37556105613363,53.2800346113724,50.590012613748,50.5838638794369,70.1187087617267
"3",3,124900,6060,1930,13.4801648223069,5.51999303278223,1,1.99345660052926,52.1045748499701,2,78.9026120429276,113.91089158573,34.9841520231924,16.0078586919472,NA,38.6431757757503,4.92872065150666,23.0558765283526,27.3269620576615,70.0119465176395,37.7857656405801,14.3444948940189,56.663595599393,57.044929343805,61.2094024306789,85.2298224148061
"4",4,114000,8146,1900,11.4792835921385,10.8189573176906,1,4.12389545086477,36.8742642540929,1,79.9456955303468,115.632876701019,31.6570064253239,-999,44.6574504422888,39.3231121983018,3.97651337253583,21.9122545113711,16.4660484861649,51.1745517711679,26.4223822175539,8.06412273589824,53.6085672502977,46.8777328891945,53.2165082374431,64.9324017111566
"5",5,227000,8400,2001,8.20872142800794,0.705105681950355,1,7.33521634307583,50.0804890013533,1,-99,122.068546830315,22.8307767932903,11.7491544923471,50.6565994751535,999,2.7301442033802,12.7792391907575,22.4211404554912,41.4543660464128,25.1234050497659,8.01542860327773,44.7502537380398,42.919414873415,60.3760110648157,90.1945152144829
"6",6,198500,7301,2003,12.417132644277,88.9803763125787,1,2.9855020972241,40.8450121432715,2,70.5745956789453,103.055658307787,30.0119706914588,12.1025629171444,NA,999,2.76056774890609,29.7168743761711,26.6869328690414,73.6839573018596,27.6256899695335,10.5727798711798,47.6037792613613,59.381944277899,73.6305789574639,51.1806333649859
"7",7,93000,6000,1953,9.30209675001807,16.1189045668914,1,3.1980043302806,39.9488448146133,2,89.5767965317848,91.8481918945208,35.4526030104148,16.0793099522888,NA,37.1802396556278,6.63406827608447,34.8501936144606,40.5664749175968,110.145584646119,22.95855881123,24.3125301679407,42.576344398727,25.8004262301568,46.3083016971493,85.192322577916
"8",8,187687,3710,2007,11.0228260408295,2.3515581693411,1,2.93338573840526,52.6587619358065,2,-9,9999,32.3075102211841,17.7564970714627,52.1339909782512,999,3.48087975404188,27.5333726007916,25.3444733122287,71.9359138332835,28.569390677653,10.4387120430221,56.1015065625441,57.2220618915413,70.0705877213942,61.4389501422092
"9",9,137500,12395,1984,7.63966721653139,0.00282266664604961,1,3.50809339685619,40.0957141921361,1,80.899948856282,117.623111371744,33.8635789113368,-999,58.0643055539505,44.2954850772315,3.37880841077202,17.8464197530492,20.6024243245917,51.868674082476,23.7482589654394,8.97178159624015,45.6554525893253,27.5737836757436,51.3657855891765,99.9416996593321
"10",10,140000,3675,2005,10.2377843568844,12.5596788010232,1,4.24517413302532,52.5240632517351,1,-99,97.7911771998134,NA,12.0109610738447,49.7118853363087,38.9298854162072,3.5635911360314,13.3703265313794,16.5279000556889,48.9940060952238,29.5494316415785,6.59737079744296,54.1699932494398,57.4762614358793,70.6150809373632,52.9845620216198
"11",11,219500,6240,2006,9.90109548118549,12.5238295357729,1,6.35249480234125,38.9190814513544,1,-99,89.7227270193109,29.3881187529225,-999,NA,999,4.60617770196105,17.5309850977194,23.7310430205709,53.6564020137582,32.7394894752129,7.53899579285801,46.7674239347438,60.1760324414447,59.3667498005718,98.1670574113903
"12",12,136000,10475,1991,11.0676009521809,73.7326470048061,1,2.67041615777195,48.9157416945131,2,91.4392898924172,117.774310967436,38.0333342706791,15.5700480259746,NA,999,5.18633832937827,22.6597074859651,17.8831968000803,55.0490845524796,29.1220554171297,7.93089598410685,53.9128241197574,50.4000279591147,59.3896816386149,78.1613162629109
"13",13,80000,7404,1920,10.1652701912924,39.5127625221314,1,2.24707747647143,47.995945041651,2,88.6730820891789,9999,32.5938981975499,17.1652385217649,60.9928838430995,45.3511425490594,5.06654062626358,13.4788420563696,32.7288838919015,67.3448942766687,49.9871838856886,10.1726566699555,49.6668845449,64.0958525109673,67.1471798354834,66.5999556746328
"14",14,159000,9500,1963,12.1113374185334,16.6572689207679,1,3.72632359794877,45.2119563776829,2,85.9700530201448,110.453344099794,31.9348006288998,15.0108395669463,NA,999,3.17293701402374,20.6995285763114,25.1192342394072,61.1805192378969,23.7195912725292,6.74503814083548,53.2772103925318,60.274936945587,55.1998093578241,35.6921938471916
"15",15,214000,9135,2002,10.7817090272113,95.5740875429313,1,2.25984600960396,45.3083752335252,1,71.0543691064932,116.590849599647,32.8937641176318,14.7504391672132,NA,42.4285382222181,5.24105470800749,14.6364460549445,27.4697045840185,53.2512741832507,23.1294338938785,10.5116357713529,54.2114663939309,66.2887833043537,69.2695298792111,71.6333077832354
"16",16,163000,8480,1993,10.2960222441905,34.5796931208821,1,3.75822282340794,51.6288915942885,2,67.5295358256366,107.318176515991,26.5214550522969,18.0078957463666,45.1886830341096,999,2.17872740267775,16.5364116826862,28.8315118030071,58.2031750423374,25.1430308199994,12.3897735157505,52.9051506626331,47.1910934134567,44.0824060965892,84.1156198567301
"17",17,203000,8814,2005,7.35242075163882,77.5136917275587,1,2.99451040909021,52.0870103067843,2,74.6804254028037,99.2257869371307,31.3109147078539,15.7804188286812,NA,999,4.49988705202909,27.8952941927421,20.2884978878585,67.3636148778341,22.8178966781504,10.3115101004877,51.1981526873415,60.1122725519026,80.7759813201716,54.3491042193038
"18",18,67000,8248,1914,10.724930491115,99.8790138429065,1,0.877163574777625,46.129657946451,1,72.4128236738631,9999,25.5671728914157,12.4190380130345,39.2743717038637,999,3.58895121521679,12.81338890436,26.7640441385848,57.958747993824,40.3589897580687,11.7908760012956,56.1895269027663,52.6505265542913,51.0871276912891,88.3186728545154
"19",19,205000,10603,1977,8.09451234665995,15.9051317652362,1,4.43078905016221,51.2880647529662,2,85.6751634564361,9999,34.2410979895224,13.8242252672662,NA,43.5390667910684,4.47406832903428,16.3608436180359,25.0212905715394,52.664129833886,26.1066111608346,5.76999302083105,51.02107205891,50.8606506736958,49.7731786478592,54.3590909571657
"20",20,131250,7706,1993,10.3586155330035,60.7398269652121,1,3.55272196900258,40.572663861802,2,-9,103.158727276298,34.3125045324563,19.5758968632187,53.0286194586358,43.6562330487446,2.77632027517849,13.9032804342351,21.5852903687247,43.488276315867,22.8864066541632,6.74378441060901,52.404127974125,48.6942306873632,63.2138668049445,103.635113245138
"21",21,181000,7441,2006,10.9908835305499,9.87619867696694,1,5.69101697637036,51.3513225568597,2,-99,9999,38.703322045921,10.8197639391742,49.5994127659258,38.8504567037214,3.86597361906535,11.7988976274662,17.2001620577053,39.1983262631306,27.4806755643623,6.54949684069554,55.0009111991835,54.5039311890445,54.6560290277555,66.1230196632141
